IP地址,端口,地区,TLS,数据中心,TCP延迟(ms),等效带宽,速度(MB/s)
8.219.98.13,443,SG,TRUE,Singapore,666 ms,0 Mbps,52 kB/s
8.211.54.130,443,DE,TRUE,Frankfurt,90 ms,37 Mbps,4807 kB/s
129.159.84.71,443,US,TRUE,Ashburn,50 ms,7 Mbps,971 kB/s
8.219.114.201,443,SG,TRUE,Singapore,303 ms,66 Mbps,8458 kB/s
193.122.197.111,443,US,TRUE,Ashburn,94 ms,430 Mbps,55091 kB/s
138.2.56.246,443,JP,TRUE,Osaka,219 ms,56 Mbps,7203 kB/s
155.248.204.33,443,US,TRUE,San Jose,72 ms,229 Mbps,29388 kB/s
8.219.111.147,443,SG,TRUE,Singapore,230 ms,69 Mbps,8912 kB/s
129.146.46.164,443,US,TRUE,Los Angeles,136 ms,197 Mbps,25292 kB/s
8.219.193.202,443,SG,TRUE,Singapore,229 ms,0 Mbps,97 kB/s
158.101.175.51,443,DE,TRUE,Frankfurt,92 ms,46 Mbps,5967 kB/s
47.242.60.161,443,HK,TRUE,Hong Kong,328 ms,67 Mbps,8675 kB/s
143.47.242.195,443,GB,TRUE,London,84 ms,50 Mbps,6453 kB/s
144.24.74.51,443,KR,TRUE,Seoul,187 ms,81 Mbps,10444 kB/s
155.248.196.127,443,US,TRUE,San Jose,73 ms,44 Mbps,5645 kB/s
138.2.181.26,443,AE,TRUE,Frankfurt,91 ms,123 Mbps,15769 kB/s
138.3.254.39,443,DE,TRUE,Frankfurt,171 ms,192 Mbps,24678 kB/s
8.218.85.128,443,HK,TRUE,Hong Kong,228 ms,43 Mbps,5521 kB/s
168.138.46.67,443,JP,TRUE,Osaka,221 ms,29 Mbps,3816 kB/s
8.219.200.145,443,SG,TRUE,Singapore,233 ms,59 Mbps,7553 kB/s
140.238.195.98,443,AU,TRUE,Sydney,207 ms,31 Mbps,4082 kB/s
150.230.207.223,443,SG,TRUE,Singapore,283 ms,55 Mbps,7061 kB/s
129.146.133.33,443,US,TRUE,Los Angeles,61 ms,336 Mbps,43008 kB/s
192.9.250.241,443,US,TRUE,,72 ms,7 Mbps,987 kB/s
47.88.15.127,443,US,TRUE,San Jose,134 ms,77 Mbps,9861 kB/s
8.219.111.175,443,SG,TRUE,Singapore,232 ms,52 Mbps,6770 kB/s
8.219.106.156,443,SG,TRUE,Singapore,233 ms,78 Mbps,10035 kB/s
8.222.222.64,443,SG,TRUE,Singapore,228 ms,65 Mbps,8323 kB/s
8.219.198.139,443,SG,TRUE,Singapore,227 ms,63 Mbps,8128 kB/s
8.211.18.254,443,US,TRUE,Frankfurt,92 ms,207 Mbps,26521 kB/s
192.9.177.204,443,AU,TRUE,Sydney,202 ms,73 Mbps,9403 kB/s
138.2.157.236,443,DE,TRUE,Frankfurt,167 ms,213 Mbps,27340 kB/s
43.204.146.16,443,IN,TRUE,,206 ms,66 Mbps,8453 kB/s
144.24.80.56,443,KR,TRUE,Seoul,192 ms,80 Mbps,10342 kB/s
140.238.1.158,443,KR,TRUE,Seoul,189 ms,82 Mbps,10547 kB/s
155.248.202.141,443,US,TRUE,San Jose,75 ms,44 Mbps,5643 kB/s
155.248.196.123,443,US,TRUE,Vancouver,73 ms,48 Mbps,6189 kB/s
144.22.252.124,443,BR,TRUE,S,,,
